time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:34:867	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.38	-31.92	-179.59	-0.400	-47.633	200.483	-0.14642	0.15637	0.67160	0.70920	26.4	10080.1.13	60
2024-12-23 9:46:35:6	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.36	-32.16	-179.51	-0.400	-47.633	200.483	-0.14642	0.15637	0.67160	0.70920	26.4	10080.1.13	60
2024-12-23 9:46:35:69	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.41	-31.45	-179.64	-0.400	-47.633	200.483	-0.18655	0.19467	0.65967	0.70145	26.4	10080.1.13	60
2024-12-23 9:46:35:204	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.41	-31.08	-179.73	-0.400	-47.633	200.483	-0.18655	0.19467	0.65967	0.70145	26.4	10080.1.13	60
2024-12-23 9:46:35:271	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.78	-28.74	179.91	-1.492	-48.442	219.217	-0.18655	0.19467	0.65967	0.70145	26.4	10080.1.13	60
2024-12-23 9:46:35:405	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.24	-26.00	179.47	-1.492	-48.442	219.217	-0.18655	0.19467	0.65967	0.70145	26.4	10080.1.13	60
2024-12-23 9:46:35:498	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.43	-25.13	179.29	-1.492	-48.442	219.217	-0.14951	0.16498	0.67273	0.70554	26.4	10080.1.13	60
2024-12-23 9:46:35:622	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.37	-26.74	179.35	-1.492	-48.442	219.217	-0.14951	0.16498	0.67273	0.70554	26.4	10080.1.13	60
2024-12-23 9:46:35:677	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.05	-29.16	179.58	-0.167	-48.692	203.117	-0.14951	0.16498	0.67273	0.70554	26.4	10080.1.13	60
2024-12-23 9:46:35:795	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.52	-35.93	-179.96	-0.167	-48.692	203.117	-0.14951	0.16498	0.67273	0.70554	26.4	10080.1.13	60
